Cuenta;Valor;Tipo mov.
430003482;CAS*BR*;Auxiliar
430003485;CEF*SA*;Auxiliar
430003486;CIA* S*;Auxiliar
430003488;CEN*OL*;Auxiliar
430003490;CIN*A *;Auxiliar
430003491;CON*CH*;Auxiliar
430003493;CAR*AL*;Auxiliar
430003494;CAE*E *;Auxiliar
430003495;CAR*CA*;Auxiliar
430003496;CAM*UI*;Auxiliar
430003498;CAM* S*;Auxiliar
430003499;CED*GO*;Auxiliar
430003500;CON*ON*;Auxiliar
430003501;CHA*CH*;Auxiliar
430003502;CLI*EL*;Auxiliar
430003503;CEA*DO*;Auxiliar
430003504;CEA*DO*;Auxiliar
430003505;CLI*ET*;Auxiliar
430003506;CON* P*;Auxiliar
430003507;CAL*NA*;Auxiliar
430003509;CAM*DE*;Auxiliar
430003510;CIF* R*;Auxiliar
430003511;CAR*RB*;Auxiliar
430003512;C.B*LI*;Auxiliar
430003514;MAR*RB*;Auxiliar
430003515;CAB*GA*;Auxiliar
430003516;CEN*NI*;Auxiliar
430003517;DEL* L*;Auxiliar
430003518;CAR* S*;Auxiliar
430003519;COM* G*;Auxiliar
430003520;C.V*DE*;Auxiliar
430003522;COM* B*;Auxiliar
430003523;CEA*EZ*;Auxiliar
430003524;CHA*RN*;Auxiliar
430003525;CHE*TI*;Auxiliar
430003526;COB*SO*;Auxiliar
430003529;CAS*AS*;Auxiliar
430003530;CID*GR*;Auxiliar
430003531;COO* I*;Auxiliar
430003532;CAR*RU*;Auxiliar
430003533;CAM*MA*;Auxiliar
430003534;CLI*ET*;Auxiliar
430003535;CHA*LL*;Auxiliar
430003536;COO*VA*;Auxiliar
430003537;CAR*RI*;Auxiliar
430003538;BEN*BE*;Auxiliar
430003539;SOM*ME*;Auxiliar
430003540;CEN*E *;Auxiliar
430003541;COC*OS*;Auxiliar
430003542;CON* P*;Auxiliar
430003543;CAB*AR*;Auxiliar
430003544;CRE*IZ*;Auxiliar
430003545;GAR*ND*;Auxiliar
430003546;DAM*VA*;Auxiliar
430003547;CAN*ME*;Auxiliar
430003548;CAL*ES*;Auxiliar
430003549;CRE*L.*;Auxiliar
430003551;CHA*SA*;Auxiliar
430003552;CIS*CA*;Auxiliar
430003553;ECO*L.*;Auxiliar
430003555;CEB*DI*;Auxiliar
430003556;CAR* S*;Auxiliar
430003557;COO*ST*;Auxiliar
430003558;CAJ*DO*;Auxiliar
430003559;CAR* S*;Auxiliar
430003561;COO*A.*;Auxiliar
430003562;COO*VA*;Auxiliar
430003563;CON* P*;Auxiliar
430003564;CON*BR*;Auxiliar
430003566;CAP*AR*;Auxiliar
430003567;CUE* P*;Auxiliar
430003568;CAM*LL*;Auxiliar
430003569;COR*FL*;Auxiliar
430003570;DE *LE*;Auxiliar
430003571;CAS*ST*;Auxiliar
430003572;YAH*ES*;Auxiliar
430003573;CON*S *;Auxiliar
430003574;SOL*RM*;Auxiliar
430003575;CAR*BL*;Auxiliar
430003576;CEN* M*;Auxiliar
430003577;CAN*AN*;Auxiliar
430003578;COM* C*;Auxiliar
430003579;CHA*PE*;Auxiliar
430003581;CHE*B.*;Auxiliar
430003582;CEN* S*;Auxiliar
430003583;ACE*DR*;Auxiliar
430003584;CER*ON*;Auxiliar
430003585;DE *LE*;Auxiliar
430003694;CEV*D *;Auxiliar
430003696;COB* C*;Auxiliar
430003699;CAR*CL*;Auxiliar
430003700;COO* C*;Auxiliar
430003705;CAL*OM*;Auxiliar
430003706;CAN* R*;Auxiliar
430003707;CLI*ET*;Auxiliar
430003708;CEN*S.*;Auxiliar
430003709;COL*AR*;Auxiliar
430003710;CAR*AM*;Auxiliar
430003711;DE *LE*;Auxiliar
430003712;COM*TU*;Auxiliar
430003713;CAS*A *;Auxiliar
430003714;CEN*T.*;Auxiliar
430003717;ROS*ER*;Auxiliar
430003718;CON*AN*;Auxiliar
430003719;CAN* P*;Auxiliar
430003720;CAR*LA*;Auxiliar
430003723;CUN*.C*;Auxiliar
430003726;C. *IE*;Auxiliar
430003727;PRO*SE*;Auxiliar
430003729;CEN*AR*;Auxiliar
430003733;CEB*HE*;Auxiliar
430003735;CUE*OM*;Auxiliar
430003738;CAN*NT*;Auxiliar
430003739;CUR*AB*;Auxiliar
430003741;CAS*S,*;Auxiliar
430003742;DIA*O *;Auxiliar
430003743;CAR*CL*;Auxiliar
430003744;CAS*BR*;Auxiliar
430003745;CAS*AL*;Auxiliar
430003748;CON* B*;Auxiliar
430003749;CAS*AR*;Auxiliar
430003750;CAM*OV*;Auxiliar
430003751;CAR*AR*;Auxiliar
430003753;CHI*IN*;Auxiliar
430003754;COM* F*;Auxiliar
430003755;CER*LA*;Auxiliar
430003756;CHU*LV*;Auxiliar
430003757;C. *PA*;Auxiliar
430003758;CAL*SE*;Auxiliar
430003759;CHR*PR*;Auxiliar
430003760;COL*ON*;Auxiliar
430003764;CAL*IB*;Auxiliar
430003767;PRE*ME*;Auxiliar
430003768;EL *RA*;Auxiliar
430003769;CAR*EL*;Auxiliar
430003770;COM* Q*;Auxiliar
430003771;CER*C*;Auxiliar
430003772;MAR*VE*;Auxiliar
430003773;CON*OL*;Auxiliar
430003774;CAT* S*;Auxiliar
430003775;CLU*T.*;Auxiliar
430003776;CRI*.C*;Auxiliar
430003777;CAN*LG*;Auxiliar
430003778;COM* B*;Auxiliar
430003779;COL* S*;Auxiliar
430003781;CEN* N*;Auxiliar
430003838;COM*IE*;Auxiliar
430003839;CON*ES*;Auxiliar
430003840;CAC*UÑ*;Auxiliar
430003843;CRU*O *;Auxiliar
430003846;CEN*L *;Auxiliar
430003847;CAL*O *;Auxiliar
430003850;CUE* L*;Auxiliar
430003851;COV*N *;Auxiliar
430003853;CLI*ET*;Auxiliar
430003854;CRU*RE*;Auxiliar
430003855;CUE*RN*;Auxiliar
430003856;CEN*TE*;Auxiliar
430003857;CAN*TO*;Auxiliar
430003858;CAL*AS*;Auxiliar
430003859;CLU*CO*;Auxiliar
430003860;C. *LA*;Auxiliar
430003861;CAS* F*;Auxiliar
430003862;CLI*AÑ*;Auxiliar
430003863;COO*VA*;Auxiliar
430003866;CER*NI*;Auxiliar
430003867;CAN*A *;Auxiliar
430003868;COM* A*;Auxiliar
430003869;CLE*.*;Auxiliar
430003870;ZAR*E *;Auxiliar
430003871;ARI*DE*;Auxiliar
430003873;COR* R*;Auxiliar
430003874;CAR*PA*;Auxiliar
430003875;CAS*RT*;Auxiliar
430003876;C.V*AR*;Auxiliar
430003877;CAR*PE*;Auxiliar
430003878;CLU*RT*;Auxiliar
430003879;CAR*AR*;Auxiliar
430003880;CON*CH*;Auxiliar
430003881;C.B*O*;Auxiliar
430003882;PEÑ* S*;Auxiliar
430003883;CAR*N.*;Auxiliar
430003884;CON*ED*;Auxiliar
430003885;COT* E*;Auxiliar
430003886;CEN*TE*;Auxiliar
430003887;CIA*AD*;Auxiliar
430003888;CAL*AS*;Auxiliar
430003889;COO*AD*;Auxiliar
430003890;CON*IO*;Auxiliar
430003891;COM* G*;Auxiliar
430003893;CAS*O *;Auxiliar
430003895;COB*AD*;Auxiliar
430003896;CAM*OA*;Auxiliar
430003897;COR* M*;Auxiliar
430003898;C.B*A *;Auxiliar
430003899;CLU*CO*;Auxiliar
430003900;CET*DE*;Auxiliar
430003902;CAL*EL*;Auxiliar
430003903;COP*RI*;Auxiliar
430003906;CAR*TA*;Auxiliar
430003908;CAS*RN*;Auxiliar
430003909;CAS*SQ*;Auxiliar
430003910;CEN* E*;Auxiliar
430003912;CAÑ*RT*;Auxiliar
430003913;CON*VE*;Auxiliar
430003914;CAZ*O *;Auxiliar
430003915;CAC*LL*;Auxiliar
430003916;CIA*P.*;Auxiliar
430003918;CUE*RE*;Auxiliar
430003920;COR*RC*;Auxiliar
430003921;CLI*S.*;Auxiliar
430003923;CAI*NA*;Auxiliar
430003924;COV*D.*;Auxiliar
430003925;MAT*Z *;Auxiliar
430003926;CUE*RC*;Auxiliar
430003927;VEN*EE*;Auxiliar
430003928;CON*AZ*;Auxiliar
430003929;CLI*ET*;Auxiliar
430003930;VET*AN*;Auxiliar
430003931;CEN*ET*;Auxiliar
430003932;CLI*ET*;Auxiliar
430003933;MON*T *;Auxiliar
430003934;CHU*EL*;Auxiliar
430003935;CAS*EA*;Auxiliar
430003936;CEN*ET*;Auxiliar
430003937;CAR*DI*;Auxiliar
430003938;CLI*ET*;Auxiliar
430003939;CON*IO*;Auxiliar
430003940;COV*OR*;Auxiliar
430003941;CLI*ET*;Auxiliar
430003942;CEN*TE*;Auxiliar
430003944;CAS*VA*;Auxiliar
430003945;COM* A*;Auxiliar
430003946;VET*S *;Auxiliar
430003947;CAB*UÑ*;Auxiliar
430003948;LOS*S *;Auxiliar
430003949;CAV*EJ*;Auxiliar
430003950;VET*S.*;Auxiliar
430003951;CEN*TE*;Auxiliar
430003952;ANU*IN*;Auxiliar
430003953;CAS*NC*;Auxiliar
430003954;CON*IO*;Auxiliar
430003955;COM* V*;Auxiliar
430003956;C.M*ER*;Auxiliar
430003957;CAM* R*;Auxiliar
430003958;COR* E*;Auxiliar
430003959;CAN*RR*;Auxiliar
430003960;CAB*OR*;Auxiliar
430003961;CON*ON*;Auxiliar
430003962;CON*.G*;Auxiliar
430003963;CAM*GO*;Auxiliar
430003964;COL* S*;Auxiliar
430003965;FIT* S*;Auxiliar
430003966;C.B*L*;Auxiliar
430003967;CAR*AM*;Auxiliar
430003968;CAL*O *;Auxiliar
430003969;CEN*T.*;Auxiliar
430003970;CAL*AS*;Auxiliar
430003971;CAR*ER*;Auxiliar
430003974;CAN*IA*;Auxiliar
430003975;CAS*RO*;Auxiliar
430003976;CAR*.C*;Auxiliar
430003977;CAL*AN*;Auxiliar
430003978;CAL*AD*;Auxiliar
430003979;CHU*IR*;Auxiliar
430003980;CEN*T.*;Auxiliar
430003981;COM*R *;Auxiliar
430003982;CON* T*;Auxiliar
430003983;CON*RE*;Auxiliar
430003984;CAN*IA*;Auxiliar
430003985;CAR*TU*;Auxiliar
430003986;CAR*RO*;Auxiliar
430003987;CAR*MA*;Auxiliar
430003988;CAT*HE*;Auxiliar
430003989;CEB*PI*;Auxiliar
430003991;CAS*IL*;Auxiliar
430003994;COM*B.*;Auxiliar
430003995;CRI*OD*;Auxiliar
430003996;COZ*NA*;Auxiliar
430003997;C.B*NZ*;Auxiliar
430003998;CAS*CI*;Auxiliar
430003999;CAM* S*;Auxiliar
430004000;DE *NI*;Auxiliar
430004001;DEU*AN*;Auxiliar
430004002;DIB*RO*;Auxiliar
430004004;DIE*AN*;Auxiliar
430004005;DIE*NO*;Auxiliar
430004007;DIA*S.*;Auxiliar
430004010;HNO*IO*;Auxiliar
430004011;DE *AN*;Auxiliar
430004014;DPT*GE*;Auxiliar
430004016;DIV*SU*;Auxiliar
430004018;DE *A *;Auxiliar
430004020;DOM*AR*;Auxiliar
430004021;S.A*MI*;Auxiliar
430004022;DIR* P*;Auxiliar
430004023;PER*AC*;Auxiliar
430004026;VAL*O *;Auxiliar
430004027;DIE*RU*;Auxiliar
430004028;DIE*AD*;Auxiliar
430004030;DUQ*RA*;Auxiliar
430004038;DOL*BA*;Auxiliar
430004039;DIS*LI*;Auxiliar
430004041;M  *O *;Auxiliar
430004042;RIC*UE*;Auxiliar
430004043;DIE*DE*;Auxiliar
430004045;DE * J*;Auxiliar
430004047;DIA*PR*;Auxiliar
430004049;DIE*OÑ*;Auxiliar
430004052;DIP* S*;Auxiliar
430004058;DOS*.L*;Auxiliar
430004061;DIP*N *;Auxiliar
430004064;HNO*O *;Auxiliar
430004066;DIE* R*;Auxiliar
430004067;ROY*IN*;Auxiliar
430004068;DIS* S*;Auxiliar
430004069;DAN*RT*;Auxiliar
430004070;DOM* V*;Auxiliar
430004071;DED*AL*;Auxiliar
430004072;DIE*IN*;Auxiliar
430004073;DIE*O *;Auxiliar
430004074;DEP*S.*;Auxiliar
430004076;DUQ*EZ*;Auxiliar
430004077;HNO*Z *;Auxiliar
430004078;DOM* C*;Auxiliar
430004079;SAN*IN*;Auxiliar
430004080;DIA*NG*;Auxiliar
430004081;DOM*AB*;Auxiliar
430004082;DE *NT*;Auxiliar
430004083;DER*RI*;Auxiliar
430004084;DOM*AR*;Auxiliar
430004085;DOM* C*;Auxiliar
430004086;DUA*LI*;Auxiliar
430004087;PAR*MA*;Auxiliar
430004088;DEH*S *;Auxiliar
430004090;DE *SA*;Auxiliar
430004091;DIA*BI*;Auxiliar
430004092;AND*IM*;Auxiliar
430004093;ASO*T.*;Auxiliar
430004094;CEC*L.*;Auxiliar
430004095;CAC*EG*;Auxiliar
430004096;CEN*TE*;Auxiliar
430004097;DOM* R*;Auxiliar
430004098;DUR*EZ*;Auxiliar
430004099;DIA*JA*;Auxiliar
430004100;DOM*GU*;Auxiliar
430004101;DIE*AB*;Auxiliar
430004102;CAR*RC*;Auxiliar
430004103;AGR*RI*;Auxiliar
430004104;CAL*EY*;Auxiliar
430004105;DIE*RO*;Auxiliar
430004107;TER*OG*;Auxiliar
430004108;DE *NJ*;Auxiliar
430004109;DIS*S.*;Auxiliar
430004111;MAR*ER*;Auxiliar
430004112;DIA*IR*;Auxiliar
430004114;DEH* P*;Auxiliar
430004115;DOM*IM*;Auxiliar
430004116;DIE* B*;Auxiliar
430004117;DOM* V*;Auxiliar
430004118;CAB* D*;Auxiliar
430004119;FEL* E*;Auxiliar
430004120;DIV*OB*;Auxiliar
430004121;DIS*IO*;Auxiliar
430004122;DOC*SE*;Auxiliar
430004123;DOG*RU*;Auxiliar
430004124;AIZ*IV*;Auxiliar
430004125;FER* A*;Auxiliar
430004126;DIA*TE*;Auxiliar
430004127;DIA*AN*;Auxiliar
430004128;DE *SA*;Auxiliar
430004129;CAB*UÑ*;Auxiliar
430004130;DIE*IN*;Auxiliar
430004131;DIE* C*;Auxiliar
430004132;HER*DE*;Auxiliar
430004133;HER* B*;Auxiliar
430004134;DIA*RR*;Auxiliar
430004135;CAL*VA*;Auxiliar
430004136;MOL*RR*;Auxiliar
430004137;CAM*CI*;Auxiliar
430004492;AGR*ME*;Auxiliar
430004493;DIM*.*;Auxiliar
430004494;CRE*RC*;Auxiliar
430004495;CAL*IR*;Auxiliar
430004500;CON*PR*;Auxiliar
430004501;CUA*BR*;Auxiliar
430004502;CAÑ*NA*;Auxiliar
430004503;CEB*AR*;Auxiliar
430004504;COM* V*;Auxiliar
430004505;CAS*SA*;Auxiliar
430004506;COR*RC*;Auxiliar
430004507;COP*LE*;Auxiliar
430004509;CER* I*;Auxiliar
430004510;CAM* Y*;Auxiliar
430004511;COR*AV*;Auxiliar
430004512;CAL*RE*;Auxiliar
430004513;COM* V*;Auxiliar
430004515;CEN*T.*;Auxiliar
430004516;CER*PE*;Auxiliar
430004517;COR*NZ*;Auxiliar
430004518;COT* S*;Auxiliar
430004519;COL*JO*;Auxiliar
430004520;CAL*TI*;Auxiliar
430004521;CER*AM*;Auxiliar
430004522;C. *TA*;Auxiliar
430004523;CAM*RE*;Auxiliar
430004524;DE *Z *;Auxiliar
430004525;CRI* A*;Auxiliar
430004526;CAO*LE*;Auxiliar
430004527;CID* S*;Auxiliar
430004528;CER*MP*;Auxiliar
430004529;CON*IO*;Auxiliar
430004531;CRI*RC*;Auxiliar
430004532;C.H*AL*;Auxiliar
430004533;DE *NT*;Auxiliar
430004534;EL *RR*;Auxiliar
430004535;C. *AL*;Auxiliar
430004536;CAS*PE*;Auxiliar
430004537;CAS*ÑE*;Auxiliar
430004538;COT*AD*;Auxiliar
430004539;CAL*UE*;Auxiliar
430004540;CLI*ET*;Auxiliar
430004541;CAR*OL*;Auxiliar
430004542;SER* C*;Auxiliar
430004543;CAS* A*;Auxiliar
430004544;CAL*GR*;Auxiliar
430004545;CAR* M*;Auxiliar
430004546;CEB*EB*;Auxiliar
430004547;COL*AR*;Auxiliar
430004548;COM* A*;Auxiliar
430004550;CON*IO*;Auxiliar
430004551;COO* C*;Auxiliar
430004552;CIS*DE*;Auxiliar
430004554;CON*IO*;Auxiliar
430004556;CEB*ID*;Auxiliar
430004557;CAR*ES*;Auxiliar
430004558;CUB*AÑ*;Auxiliar
430004560;C.M*DL*;Auxiliar
430004562;CAM* R*;Auxiliar
430004563;CEC**;Auxiliar
430004565;CUE*ES*;Auxiliar
430004566;CAL*EB*;Auxiliar
430004567;COM* G*;Auxiliar
430004568;CAJ*RO*;Auxiliar
430004569;GAN*AN*;Auxiliar
430004570;CON*A *;Auxiliar
430004572;LLO*CA*;Auxiliar
430004574;CUB*NZ*;Auxiliar
430004575;C.V*HE*;Auxiliar
430004576;CAL*BR*;Auxiliar
430004577;CAS*OS*;Auxiliar
430004578;CAL* P*;Auxiliar
430004580;CAL*ES*;Auxiliar
430004581;CEA*A *;Auxiliar
430004582;CIA*SA*;Auxiliar
430004583;COM* L*;Auxiliar
430004584;2CA*S*;Auxiliar
430004585;CON* M*;Auxiliar
430004586;CUN*RA*;Auxiliar
430004587;CIN*A *;Auxiliar
430004588;CEN*E *;Auxiliar
430004590;CES*TI*;Auxiliar
430004591;CEN*TE*;Auxiliar
430004592;CAN*S *;Auxiliar
430004593;DEL* S*;Auxiliar
430004594;DOM* I*;Auxiliar
430004595;DOM* Q*;Auxiliar
430004596;CUE* B*;Auxiliar
430004597;CAS*ÑO*;Auxiliar
430004598;CON* G*;Auxiliar
430004599;CON* P*;Auxiliar
430004601;CAR*ES*;Auxiliar
430004602;DUR*RO*;Auxiliar
430004603;DAG*UR*;Auxiliar
430004604;DE * G*;Auxiliar
430004605;DEL*HE*;Auxiliar
430004607;CLI*ET*;Auxiliar
430004608;DEL* B*;Auxiliar
430004609;DE * G*;Auxiliar
430004610;DIN*DA*;Auxiliar
430004736;DIA*AL*;Auxiliar
430004738;DIO*IN*;Auxiliar
430004739;DIE*RI*;Auxiliar
430004740;DCA*A.*;Auxiliar
430004743;EL *DE*;Auxiliar
430004749;DOM*ON*;Auxiliar
430004750;DEM*S.*;Auxiliar
430004751;DAM*.C*;Auxiliar
430004756;DOM*ON*;Auxiliar
430004758;DIO*IA*;Auxiliar
430004760;DE *GO*;Auxiliar
430004763;DIA* A*;Auxiliar
430004768;DIA*AL*;Auxiliar
430004770;DO * C*;Auxiliar
430004771;DE *GA*;Auxiliar
430004772;DE *DE*;Auxiliar
430004773;DEH*GU*;Auxiliar
430004774;DIE* A*;Auxiliar
430004775;DOM*CE*;Auxiliar
430004776;DE *AR*;Auxiliar
430004777;DES*BA*;Auxiliar
430004780;DE *AR*;Auxiliar
430004782;DIR*RA*;Auxiliar
430004783;DIA*EJ*;Auxiliar
430004785;DAG**;Auxiliar
430004787;DIA*ER*;Auxiliar
430004788;DOM*LV*;Auxiliar
430004791;DE *IM*;Auxiliar
430004792;TIN*NE*;Auxiliar
430004793;DIA*AL*;Auxiliar
430004798;DUA*AC*;Auxiliar
430004799;DIN*.L*;Auxiliar
430004800;DIA*Z *;Auxiliar
430004801;DOM*OR*;Auxiliar
430004802;DEE*ER*;Auxiliar
430004803;DIE*JA*;Auxiliar
430004804;DIA*RA*;Auxiliar
430004805;DEL*LV*;Auxiliar
430004806;DIA*ES*;Auxiliar
430004807;CAR*AR*;Auxiliar
430004808;DEM*NE*;Auxiliar
430004809;COO*LE*;Auxiliar
430004810;COR*LM*;Auxiliar
430004811;DUR*OS*;Auxiliar
430004813;DOR*LL*;Auxiliar
430004814;DE *AR*;Auxiliar
430004815;MOR*OR*;Auxiliar
430004816;CAS*UE*;Auxiliar
430004817;COR*LM*;Auxiliar
430004818;DIM*RA*;Auxiliar
430004819;DE *VI*;Auxiliar
430004821;DE *E *;Auxiliar
430004822;DE *AR*;Auxiliar
430004823;DYP*Z *;Auxiliar
430004824;DEM*IG*;Auxiliar
430004826;DE *GO*;Auxiliar
430004827;CEN*PI*;Auxiliar
430004828;DON*AR*;Auxiliar
430004830;GAR*BI*;Auxiliar
430004831;CAL*IR*;Auxiliar
430004832;CAR*.L*;Auxiliar
430004833;CAR*AL*;Auxiliar
430004834;CNI**;Auxiliar
430004835;DM2*NS*;Auxiliar
430004836;DEH* V*;Auxiliar
430004837;CLI*ET*;Auxiliar
430004838;DES*OS*;Auxiliar
430004839;ANT**;Auxiliar
430004840;COO*VA*;Auxiliar
430004841;CON* M*;Auxiliar
430004842;GRA*LM*;Auxiliar
430004843;GEF* S*;Auxiliar
430004844;DIN*SS*;Auxiliar
430004845;AGR*RI*;Auxiliar
430004846;CAÑ*IE*;Auxiliar
430004847;AJA*AL*;Auxiliar
430004848;COT*I *;Auxiliar
430004849;CAS*PE*;Auxiliar
430004850;CEA*DO*;Auxiliar
430004853;CON*IO*;Auxiliar
430004854;CAS*ME*;Auxiliar
430004855;COO*NA*;Auxiliar
430004856;CEN*TE*;Auxiliar
430004857;BAR*RI*;Auxiliar
430004858;CEN*UE*;Auxiliar
430004859;CID*RO*;Auxiliar
430004860;DIS*E *;Auxiliar
430004861;DEL*RR*;Auxiliar
430004862;DIA*DE*;Auxiliar
430004863;CRU* E*;Auxiliar
430004864;CAR*OB*;Auxiliar
430004867;COM* V*;Auxiliar
430004868;DEL*E *;Auxiliar
430004869;GUA*AN*;Auxiliar
430004870;AZA*AG*;Auxiliar
430004871;GUA*AN*;Auxiliar
430004872;GAR*ÑO*;Auxiliar
430004873;VEG*EB*;Auxiliar
430004874;CAR*PE*;Auxiliar
430004875;EXP*IC*;Auxiliar
430004876;COM*LE*;Auxiliar
430004877;HNO*EN*;Auxiliar
430004879;DUP*RK*;Auxiliar
430004881;CHA*AL*;Auxiliar
430004882;CLI*ET*;Auxiliar
430004883;DON*RT*;Auxiliar
430004884;CAS*RE*;Auxiliar
430004886;PRO*S.*;Auxiliar
430004887;DE * A*;Auxiliar
430004888;CAS*LV*;Auxiliar
430004889;BRA*RE*;Auxiliar
430004890;CAM*AM*;Auxiliar
430004891;ELM*IO*;Auxiliar
430004892;EXP*IC*;Auxiliar
430004893;DEL*ER*;Auxiliar
430004895;DE *DI*;Auxiliar
430004896;CON*EG*;Auxiliar
430004897;CEB* S*;Auxiliar
430004898;DIA*AE*;Auxiliar
430004899;ESQ*E *;Auxiliar
430004900;DEL*UE*;Auxiliar
430004903;DAR*S.*;Auxiliar
430004905;COR*AR*;Auxiliar
430004906;DEC*TE*;Auxiliar
430004907;COT*IN*;Auxiliar
430004908;CAS*RC*;Auxiliar
430004909;DE *NT*;Auxiliar
430004910;GAL*TR*;Auxiliar
430004911;DE *S *;Auxiliar
430004912;CAL*SA*;Auxiliar
430004913;DAV*EV*;Auxiliar
430004915;MON*O *;Auxiliar
430004916;MAR*TI*;Auxiliar
430004917;HER*AZ*;Auxiliar
430004918;MAR*GA*;Auxiliar
430004919;LOP*A *;Auxiliar
430004920;LLO*RE*;Auxiliar
430004921;CAS*DR*;Auxiliar
430004922;APA*AR*;Auxiliar
430004924;VIC*BE*;Auxiliar
430004925;LOP*IZ*;Auxiliar
430004926;MAR*LO*;Auxiliar
430004927;SOT*ID*;Auxiliar
430004928;DE *NA*;Auxiliar
430004929;GAR*MA*;Auxiliar
430004930;MIS*AZ*;Auxiliar
430004932;GAR*RT*;Auxiliar
430004934;RAM*EN*;Auxiliar
430004935;ALO*ÑO*;Auxiliar
430004936;DE *S *;Auxiliar
430004937;THE*Y *;Auxiliar
430004938;MER*CI*;Auxiliar
430004939;SAI*VI*;Auxiliar
430004940;CAR*RO*;Auxiliar
430004941;VIC*GI*;Auxiliar
430004942;MAT*SA*;Auxiliar
430004943;DIS*DO*;Auxiliar
430004944;HER*SA*;Auxiliar
430004945;MAR*OR*;Auxiliar
430004946;MAT*GA*;Auxiliar
430004947;LUQ*AN*;Auxiliar
430004948;MAR*RQ*;Auxiliar
430004950;TOR*RC*;Auxiliar
430004951;GON*ZA*;Auxiliar
430004952;SEN* Z*;Auxiliar
430004953;BUS* G*;Auxiliar
430004955;MAR*NO*;Auxiliar
430004956;DOM* R*;Auxiliar
430004957;DE *NT*;Auxiliar
430004958;APA*MU*;Auxiliar
430004960;LOZ*RE*;Auxiliar
430004961;SUS*GI*;Auxiliar
430004962;LLO*PE*;Auxiliar
430004963;DE *Z *;Auxiliar
430004964;MAD* C*;Auxiliar
430004965;MEL*IL*;Auxiliar
430004966;SAN*NT*;Auxiliar
430004967;SAN*RC*;Auxiliar
430004969;HYL*NT*;Auxiliar
430004970;DE *PI*;Auxiliar
430004972;SAN*RI*;Auxiliar
430004973;BER*MO*;Auxiliar
430004974;GIL* B*;Auxiliar
430004976;MAR*PE*;Auxiliar
430004977;GAR*AR*;Auxiliar
430004978;LAF*PE*;Auxiliar
430004979;CAL*IL*;Auxiliar
430004980;SAU*ZA*;Auxiliar
430004981;JIM*AR*;Auxiliar
430004982;CAS*NZ*;Auxiliar
430004983;GRA* T*;Auxiliar
430004984;MOR*ST*;Auxiliar
430004985;CAL*IL*;Auxiliar
430004986;FER* H*;Auxiliar
430004987;VAZ*AR*;Auxiliar
430004988;MAR*PI*;Auxiliar
430004991;ARI*AN*;Auxiliar
430004992;EL * C*;Auxiliar
430004993;TRI*NS*;Auxiliar
430004994;GOM*DE*;Auxiliar
430004995;FRA*NS*;Auxiliar
430004996;GAL*A *;Auxiliar
430004997;VIC*IC*;Auxiliar
430004998;GIL*E *;Auxiliar
430004999;GIL*A *;Auxiliar
430005000;EXP*ON*;Auxiliar
430005001;ENC*OP*;Auxiliar
430005004;ENJ*JO*;Auxiliar
430005010;EST*EÑ*;Auxiliar
430005012;ELA*.*;Auxiliar
430005015;EXP*DE*;Auxiliar
430005016;EMB* P*;Auxiliar
430005019;EST*AR*;Auxiliar
430005022;EST*OL*;Auxiliar
430005023;EXP*RA*;Auxiliar
430005025;ESC* G*;Auxiliar
430005027;ELA*L.*;Auxiliar
430005030;DIR* G*;Auxiliar
430005034;EL *C.*;Auxiliar
430005035;S.A*PO*;Auxiliar
430005036;ENC*LO*;Auxiliar
430005037;EL *OC*;Auxiliar
430005039;LOS*LL*;Auxiliar
430005040;ESC*AN*;Auxiliar
430005042;ELA*LQ*;Auxiliar
430005043;ENJ*JO*;Auxiliar
430005044;EST*Z *;Auxiliar
430005047;ESC* C*;Auxiliar
430005049;EL *S.*;Auxiliar
430005055;ESC* J*;Auxiliar
430005056;ENS*GE*;Auxiliar
430005057;EL *L *;Auxiliar
430005058;EST*Z *;Auxiliar
430005061;EST*AR*;Auxiliar
430005062;EST*Z *;Auxiliar
430005064;EST*ER*;Auxiliar
430005066;EST*Z *;Auxiliar
430005067;EL * C*;Auxiliar
430005069;EGI*AN*;Auxiliar
430005073;EXP*ON*;Auxiliar
430005075;ETR*.L*;Auxiliar
430005077;HUE*SA*;Auxiliar
430005078;EUR*E *;Auxiliar
430005080;ESC*E *;Auxiliar
430005082;EQU* S*;Auxiliar
430005083;EJI**;Auxiliar
430005090;EZM*.*;Auxiliar
430005091;EL *DE*;Auxiliar
430005092;EL *JO*;Auxiliar
430005093;EXP*NT*;Auxiliar
430005094;ENJ*L *;Auxiliar
430005095;EST*AR*;Auxiliar
430005099;EGI*AR*;Auxiliar
430005100;EL *AL*;Auxiliar
430005104;EL *QU*;Auxiliar
430005106;EST*CE*;Auxiliar
430005110;EST*AS*;Auxiliar
430005111;BAR*DE*;Auxiliar
430005112;EL *DE*;Auxiliar
430005113;EL *DE*;Auxiliar
430005114;EXP*. *;Auxiliar
430005115;ETR*.L*;Auxiliar
430005118;PEÑ*  *;Auxiliar
430005119;ESP*IN*;Auxiliar
430005120;EL *DE*;Auxiliar
430005121;EL * S*;Auxiliar
430005122;EL * Q*;Auxiliar
430005123;EL *LA*;Auxiliar
430005125;EL *L *;Auxiliar
430005126;EL *LO*;Auxiliar
430005130;EL *LO*;Auxiliar
430005131;EL * D*;Auxiliar
430005132;ENJ*JO*;Auxiliar
